date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-06-22,ES,Vitória,city,54440,1193,True,365855,3205309,14880.21211,0.0219
2021-06-22,GO,Abadia de Goiás,city,1441,34,True,8958,5200050,16086.17995,0.0236
2021-06-22,GO,Abadiânia,city,437,33,True,20461,5200100,2135.77049,0.0755
2021-06-22,GO,Acreúna,city,1950,47,True,22546,5200134,8648.9843,0.0241
2021-06-22,GO,Adelândia,city,195,4,True,2516,5200159,7750.39746,0.0205
2021-06-22,GO,Água Fria de Goiás,city,299,10,True,5793,5200175,5161.40169,0.0334
2021-06-22,GO,Água Limpa,city,155,1,True,1830,5200209,8469.94536,0.0065
2021-06-22,GO,Águas Lindas de Goiás,city,8159,292,True,217698,5200258,3747.85253,0.0358
2021-06-22,GO,Alexânia,city,3059,76,True,28010,5200308,10921.09961,0.0248
2021-06-22,GO,Aloândia,city,267,7,True,1986,5200506,13444.10876,0.0262
2021-06-22,GO,Alto Horizonte,city,850,10,True,6605,5200555,12869.03861,0.0118
2021-06-22,GO,Alto Paraíso de Goiás,city,623,8,True,7688,5200605,8103.53798,0.0128
2021-06-22,GO,Alvorada do Norte,city,743,7,True,8705,5200803,8535.32453,0.0094
2021-06-22,GO,Amaralina,city,92,1,True,3845,5200829,2392.71782,0.0109
2021-06-22,GO,Americano do Brasil,city,696,21,True,6164,5200852,11291.36924,0.0302
2021-06-22,GO,Amorinópolis,city,244,4,True,3069,5200902,7950.47247,0.0164
2021-06-22,GO,Anápolis,city,39002,1396,True,391772,5201108,9955.28011,0.0358
2021-06-22,GO,Anhanguera,city,90,6,True,1160,5201207,7758.62069,0.0667
2021-06-22,GO,Anicuns,city,2696,62,True,21981,5201306,12265.13807,0.023
2021-06-22,GO,Aparecida de Goiânia,city,68528,1384,True,590146,5201405,11612.04177,0.0202
2021-06-22,GO,Aparecida do Rio Doce,city,230,3,True,2474,5201454,9296.68553,0.013
2021-06-22,GO,Aporé,city,359,10,True,4232,5201504,8482.98677,0.0279
2021-06-22,GO,Araçu,city,420,16,True,3486,5201603,12048.19277,0.0381
2021-06-22,GO,Aragarças,city,2437,54,True,20273,5201702,12020.91452,0.0222
2021-06-22,GO,Aragoiânia,city,1017,21,True,10496,5201801,9689.40549,0.0206
2021-06-22,GO,Araguapaz,city,560,21,True,7783,5202155,7195.16896,0.0375
2021-06-22,GO,Arenópolis,city,205,8,True,2536,5202353,8083.59621,0.039
2021-06-22,GO,Aruanã,city,531,13,True,10110,5202502,5252.22552,0.0245
2021-06-22,GO,Aurilândia,city,191,7,True,3058,5202601,6245.91236,0.0366
2021-06-22,GO,Avelinópolis,city,277,13,True,2409,5202809,11498.54711,0.0469
2021-06-22,GO,Baliza,city,316,9,True,5280,5203104,5984.84848,0.0285
2021-06-22,GO,Barro Alto,city,1287,17,True,11408,5203203,11281.5568,0.0132
2021-06-22,GO,Bela Vista de Goiás,city,2440,65,True,30492,5203302,8002.09891,0.0266
2021-06-22,GO,Bom Jardim de Goiás,city,797,15,True,8869,5203401,8986.35697,0.0188
2021-06-22,GO,Bom Jesus de Goiás,city,2739,105,True,25648,5203500,10679.19526,0.0383
2021-06-22,GO,Bonfinópolis,city,453,19,True,9919,5203559,4566.99264,0.0419
2021-06-22,GO,Bonópolis,city,177,1,True,4493,5203575,3939.46138,0.0056
2021-06-22,GO,Brazabrantes,city,455,3,True,3746,5203609,12146.28938,0.0066
2021-06-22,GO,Britânia,city,546,5,True,5797,5203807,9418.66483,0.0092
2021-06-22,GO,Buriti Alegre,city,950,30,True,9484,5203906,10016.87052,0.0316
2021-06-22,GO,Buriti de Goiás,city,218,8,True,2476,5203939,8804.52342,0.0367
2021-06-22,GO,Buritinópolis,city,170,3,True,3283,5203962,5178.19068,0.0176
2021-06-22,GO,Cabeceiras,city,352,16,True,8046,5204003,4374.84464,0.0455
2021-06-22,GO,Cachoeira Alta,city,1495,20,True,12666,5204102,11803.2528,0.0134
2021-06-22,GO,Cachoeira de Goiás,city,77,2,True,1342,5204201,5737.70492,0.026
2021-06-22,GO,Cachoeira Dourada,city,527,26,True,8031,5204250,6562.07197,0.0493
2021-06-22,GO,Caçu,city,1322,32,True,16270,5204300,8125.38414,0.0242
2021-06-22,GO,Caiapônia,city,1138,34,True,19107,5204409,5955.93238,0.0299
2021-06-22,GO,Caldas Novas,city,8473,206,True,93196,5204508,9091.59191,0.0243
2021-06-22,GO,Caldazinha,city,298,6,True,3848,5204557,7744.28274,0.0201
2021-06-22,GO,Campestre de Goiás,city,503,14,True,3649,5204607,13784.59852,0.0278
2021-06-22,GO,Campinaçu,city,184,4,True,3632,5204656,5066.0793,0.0217
2021-06-22,GO,Campinorte,city,1402,40,True,12764,5204706,10984.01755,0.0285
2021-06-22,GO,Campo Alegre de Goiás,city,270,21,True,7738,5204805,3489.27371,0.0778
2021-06-22,GO,Campo Limpo de Goiás,city,205,9,True,7940,5204854,2581.86398,0.0439
2021-06-22,GO,Campos Belos,city,1586,20,True,20007,5204904,7927.22547,0.0126
2021-06-22,GO,Campos Verdes,city,309,10,True,1830,5204953,16885.2459,0.0324
