Município,Cód. IBGE,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Abadia De Goiás,520005,GO,Centro-Oeste,BUTANTAN/SINOVAC,2557,1295,1262
Abadia De Goiás,520005,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,2077,1971,106
Abadia Dos Dourados,310010,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1642,1531,111
Abadia Dos Dourados,310010,MG,Sudeste,BUTANTAN/SINOVAC,1532,781,751
Abadia Dos Dourados,310010,MG,Sudeste,PFIZER/BIONTECH,107,107,0
Abadiânia,520010,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,5233,4991,242
Abadiânia,520010,GO,Centro-Oeste,BUTANTAN/SINOVAC,3300,1756,1544
Abadiânia,520010,GO,Centro-Oeste,PFIZER/BIONTECH,308,308,0
Abaeté,310020,MG,Sudeste,BUTANTAN/SINOVAC,5428,2752,2676
Abaeté,310020,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5152,4623,529
Abaeté,310020,MG,Sudeste,PFIZER/BIONTECH,294,294,0
Abaetetuba,150010,PA,Norte,FIOCRUZ/ASTRAZENECA,42668,34760,7908
Abaetetuba,150010,PA,Norte,BUTANTAN/SINOVAC,16049,9173,6876
Abaiara,230010,CE,Nordeste,BUTANTAN/SINOVAC,979,769,210
Abaiara,230010,CE,Nordeste,FIOCRUZ/ASTRAZENECA,224,223,1
Abaíra,290010,BA,Nordeste,FIOCRUZ/ASTRAZENECA,3910,3398,512
Abaíra,290010,BA,Nordeste,BUTANTAN/SINOVAC,2902,1469,1433
Abaíra,290010,BA,Nordeste,PFIZER/BIONTECH,100,100,0
Abaré,290020,BA,Nordeste,BUTANTAN/SINOVAC,4780,2424,2356
Abaré,290020,BA,Nordeste,FIOCRUZ/ASTRAZENECA,3581,3199,382
Abaré,290020,BA,Nordeste,PFIZER/BIONTECH,337,335,2
Abatiá,410010,PR,Sul,FIOCRUZ/ASTRAZENECA,2443,2329,114
Abatiá,410010,PR,Sul,BUTANTAN/SINOVAC,1936,991,945
Abdon Batista,420005,SC,Sul,FIOCRUZ/ASTRAZENECA,950,806,144
Abdon Batista,420005,SC,Sul,BUTANTAN/SINOVAC,771,393,378
Abdon Batista,420005,SC,Sul,PFIZER/BIONTECH,148,148,0
Abel Figueiredo,150013,PA,Norte,FIOCRUZ/ASTRAZENECA,1219,1137,82
Abel Figueiredo,150013,PA,Norte,BUTANTAN/SINOVAC,383,197,186
Abelardo Luz,420010,SC,Sul,FIOCRUZ/ASTRAZENECA,3459,3191,268
Abelardo Luz,420010,SC,Sul,BUTANTAN/SINOVAC,3005,1596,1409
Abelardo Luz,420010,SC,Sul,PFIZER/BIONTECH,171,171,0
Abre Campo,310030,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3050,2689,361
Abre Campo,310030,MG,Sudeste,BUTANTAN/SINOVAC,2874,1449,1425
Abre Campo,310030,MG,Sudeste,PFIZER/BIONTECH,318,318,0
Abreu E Lima,260005,PE,Nordeste,BUTANTAN/SINOVAC,14611,7640,6971
Abreu E Lima,260005,PE,Nordeste,FIOCRUZ/ASTRAZENECA,9064,8213,851
Abreu E Lima,260005,PE,Nordeste,PFIZER/BIONTECH,151,151,0
Abreulândia,170025,TO,Norte,FIOCRUZ/ASTRAZENECA,640,614,26
Abreulândia,170025,TO,Norte,BUTANTAN/SINOVAC,462,254,208
Acaiaca,310040,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1176,1108,68
Acaiaca,310040,MG,Sudeste,BUTANTAN/SINOVAC,1038,532,506
Acaiaca,310040,MG,Sudeste,PFIZER/BIONTECH,28,28,0
Açailândia,210005,MA,Nordeste,FIOCRUZ/ASTRAZENECA,22850,22005,845
Açailândia,210005,MA,Nordeste,BUTANTAN/SINOVAC,11453,6164,5289
Açailândia,210005,MA,Nordeste,PFIZER/BIONTECH,265,265,0
Acajutiba,290030,BA,Nordeste,BUTANTAN/SINOVAC,1167,501,666
Acajutiba,290030,BA,Nordeste,FIOCRUZ/ASTRAZENECA,975,839,136
Acajutiba,290030,BA,Nordeste,PFIZER/BIONTECH,22,22,0
Acará,150020,PA,Norte,FIOCRUZ/ASTRAZENECA,5121,4850,271
Acará,150020,PA,Norte,BUTANTAN/SINOVAC,4547,3088,1459
Acarape,230015,CE,Nordeste,BUTANTAN/SINOVAC,2222,1194,1028
Acarape,230015,CE,Nordeste,FIOCRUZ/ASTRAZENECA,492,280,212
Acaraú,230020,CE,Nordeste,BUTANTAN/SINOVAC,8112,4206,3906
Acaraú,230020,CE,Nordeste,FIOCRUZ/ASTRAZENECA,1521,999,522
Acaraú,230020,CE,Nordeste,PFIZER/BIONTECH,1,1,0
Acari,240010,RN,Nordeste,BUTANTAN/SINOVAC,2483,1270,1213
Acari,240010,RN,Nordeste,FIOCRUZ/ASTRAZENECA,1807,1694,113
Acari,240010,RN,Nordeste,PFIZER/BIONTECH,182,182,0
Acauã,220005,PI,Nordeste,FIOCRUZ/ASTRAZENECA,1626,1420,206
Acauã,220005,PI,Nordeste,BUTANTAN/SINOVAC,1029,538,491
Acauã,220005,PI,Nordeste,PFIZER/BIONTECH,19,19,0
Aceguá,430003,RS,Sul,FIOCRUZ/ASTRAZENECA,1637,1494,143
Aceguá,430003,RS,Sul,BUTANTAN/SINOVAC,1346,647,699
Aceguá,430003,RS,Sul,PFIZER/BIONTECH,243,243,0
Acopiara,230030,CE,Nordeste,BUTANTAN/SINOVAC,8015,4267,3748
Acopiara,230030,CE,Nordeste,FIOCRUZ/ASTRAZENECA,2972,2480,492
Acorizal,510010,MT,Centro-Oeste,BUTANTAN/SINOVAC,1308,660,648
Acorizal,510010,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1254,1196,58
Acrelândia,120001,AC,Norte,FIOCRUZ/ASTRAZENECA,3163,2955,208
Acrelândia,120001,AC,Norte,BUTANTAN/SINOVAC,1213,636,577
Acrelândia,120001,AC,Norte,PFIZER/BIONTECH,161,161,0
Acreúna,520013,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,4839,4589,250
Acreúna,520013,GO,Centro-Oeste,BUTANTAN/SINOVAC,3524,1872,1652
Acreúna,520013,GO,Centro-Oeste,PFIZER/BIONTECH,37,37,0
Açu,240020,RN,Nordeste,FIOCRUZ/ASTRAZENECA,10930,10040,890
Açu,240020,RN,Nordeste,BUTANTAN/SINOVAC,8614,4516,4098
Açu,240020,RN,Nordeste,PFIZER/BIONTECH,1675,1669,6
Açucena,310050,MG,Sudeste,BUTANTAN/SINOVAC,2096,1130,966
Açucena,310050,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1986,1817,169
Açucena,310050,MG,Sudeste,PFIZER/BIONTECH,157,157,0
Adamantina,350010,SP,Sudeste,BUTANTAN/SINOVAC,10662,5742,4920
Adamantina,350010,SP,Sudeste,FIOCRUZ/ASTRAZENECA,8893,8148,745
Adamantina,350010,SP,Sudeste,PFIZER/BIONTECH,423,423,0
Adelândia,520015,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,596,561,35
Adelândia,520015,GO,Centro-Oeste,BUTANTAN/SINOVAC,467,257,210
Adolfo,350020,SP,Sudeste,BUTANTAN/SINOVAC,1335,780,555
Adolfo,350020,SP,Sudeste,FIOCRUZ/ASTRAZENECA,1097,989,108
Adolfo,350020,SP,Sudeste,PFIZER/BIONTECH,79,79,0
Adrianópolis,410020,PR,Sul,FIOCRUZ/ASTRAZENECA,1861,1778,83
Adrianópolis,410020,PR,Sul,BUTANTAN/SINOVAC,1571,818,753
Adustina,290035,BA,Nordeste,FIOCRUZ/ASTRAZENECA,4701,4205,496
Adustina,290035,BA,Nordeste,BUTANTAN/SINOVAC,3096,1606,1490
Adustina,290035,BA,Nordeste,PFIZER/BIONTECH,171,171,0
Afogados Da Ingazeira,260010,PE,Nordeste,BUTANTAN/SINOVAC,8777,4865,3912
Afogados Da Ingazeira,260010,PE,Nordeste,FIOCRUZ/ASTRAZENECA,6938,6378,560
Afogados Da Ingazeira,260010,PE,Nordeste,PFIZER/BIONTECH,770,768,2
Afonso Bezerra,240030,RN,Nordeste,FIOCRUZ/ASTRAZENECA,1578,1526,52
Afonso Bezerra,240030,RN,Nordeste,BUTANTAN/SINOVAC,1416,722,694
Afonso Bezerra,240030,RN,Nordeste,PFIZER/BIONTECH,79,79,0
Afonso Cláudio,320010,ES,Sudeste,BUTANTAN/SINOVAC,9014,4921,4093
Afonso Cláudio,320010,ES,Sudeste,FIOCRUZ/ASTRAZENECA,7725,7395,330
Afonso Cláudio,320010,ES,Sudeste,PFIZER/BIONTECH,1275,1275,0
Afonso Cunha,210010,MA,Nordeste,FIOCRUZ/ASTRAZENECA,1388,1290,98
Afonso Cunha,210010,MA,Nordeste,BUTANTAN/SINOVAC,1314,947,367
Afrânio,260020,PE,Nordeste,FIOCRUZ/ASTRAZENECA,4958,4634,324
Afrânio,260020,PE,Nordeste,BUTANTAN/SINOVAC,3266,1645,1621
Afrânio,260020,PE,Nordeste,PFIZER/BIONTECH,508,508,0
Afuá,150030,PA,Norte,FIOCRUZ/ASTRAZENECA,6240,6018,222
Afuá,150030,PA,Norte,BUTANTAN/SINOVAC,1904,992,912
Agrestina,260030,PE,Nordeste,BUTANTAN/SINOVAC,3750,2085,1665
Agrestina,260030,PE,Nordeste,FIOCRUZ/ASTRAZENECA,2446,2282,164
Agrestina,260030,PE,Nordeste,PFIZER/BIONTECH,98,98,0
Agricolândia,220010,PI,Nordeste,BUTANTAN/SINOVAC,1110,649,461
Agricolândia,220010,PI,Nordeste,FIOCRUZ/ASTRAZENECA,922,834,88
Agrolândia,420020,SC,Sul,FIOCRUZ/ASTRAZENECA,2062,1899,163
Agrolândia,420020,SC,Sul,BUTANTAN/SINOVAC,2024,1076,948
Agrolândia,420020,SC,Sul,PFIZER/BIONTECH,349,349,0
Agronômica,420030,SC,Sul,FIOCRUZ/ASTRAZENECA,1204,1127,77
Agronômica,420030,SC,Sul,BUTANTAN/SINOVAC,1071,564,507
Agronômica,420030,SC,Sul,PFIZER/BIONTECH,119,119,0
Água Azul Do Norte,150034,PA,Norte,FIOCRUZ/ASTRAZENECA,2689,1901,788
Água Azul Do Norte,150034,PA,Norte,BUTANTAN/SINOVAC,1881,1015,866
Água Boa,310060,MG,Sudeste,BUTANTAN/SINOVAC,2208,1123,1085
Água Boa,310060,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2006,1824,182
Água Boa,310060,MG,Sudeste,PFIZER/BIONTECH,80,80,0
Água Boa,510020,MT,Centro-Oeste,BUTANTAN/SINOVAC,6246,3325,2921
Água Boa,510020,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,3929,3570,359
Água Boa,510020,MT,Centro-Oeste,PFIZER/BIONTECH,360,360,0
Água Branca,220020,PI,Nordeste,FIOCRUZ/ASTRAZENECA,3909,3633,276
Água Branca,220020,PI,Nordeste,BUTANTAN/SINOVAC,3731,1942,1789
Água Branca,220020,PI,Nordeste,PFIZER/BIONTECH,225,225,0
Água Branca,250010,PB,Nordeste,BUTANTAN/SINOVAC,2065,1055,1010
Água Branca,250010,PB,Nordeste,FIOCRUZ/ASTRAZENECA,1659,1511,148
Água Branca,250010,PB,Nordeste,PFIZER/BIONTECH,167,167,0
Água Branca,270010,AL,Nordeste,BUTANTAN/SINOVAC,4172,2110,2062
Água Branca,270010,AL,Nordeste,FIOCRUZ/ASTRAZENECA,3922,3478,444
Água Clara,500020,MS,Centro-Oeste,FIOCRUZ/ASTRAZENECA,2747,2629,118
Água Clara,500020,MS,Centro-Oeste,BUTANTAN/SINOVAC,2105,1114,991
Água Clara,500020,MS,Centro-Oeste,PFIZER/BIONTECH,380,380,0
Água Comprida,310070,MG,Sudeste,BUTANTAN/SINOVAC,696,355,341
Água Comprida,310070,MG,Sudeste,FIOCRUZ/ASTRAZENECA,581,521,60
Água Comprida,310070,MG,Sudeste,PFIZER/BIONTECH,29,29,0
Água Doce,420040,SC,Sul,FIOCRUZ/ASTRAZENECA,1938,1713,225
Água Doce,420040,SC,Sul,BUTANTAN/SINOVAC,1868,1099,769
Água Doce,420040,SC,Sul,PFIZER/BIONTECH,167,167,0
Água Doce Do Maranhão,210015,MA,Nordeste,FIOCRUZ/ASTRAZENECA,2044,1822,222
Água Doce Do Maranhão,210015,MA,Nordeste,BUTANTAN/SINOVAC,2002,1050,952
Água Doce Do Norte,320016,ES,Sudeste,BUTANTAN/SINOVAC,3068,1739,1329
Água Doce Do Norte,320016,ES,Sudeste,FIOCRUZ/ASTRAZENECA,2083,1962,121
Água Doce Do Norte,320016,ES,Sudeste,PFIZER/BIONTECH,452,452,0
Água Fria,290040,BA,Nordeste,BUTANTAN/SINOVAC,2753,1699,1054
Água Fria,290040,BA,Nordeste,FIOCRUZ/ASTRAZENECA,1057,1051,6
Água Fria,290040,BA,Nordeste,PFIZER/BIONTECH,149,149,0
Água Fria De Goiás,520017,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1571,1375,196
Água Fria De Goiás,520017,GO,Centro-Oeste,BUTANTAN/SINOVAC,525,295,230
Água Fria De Goiás,520017,GO,Centro-Oeste,PFIZER/BIONTECH,78,78,0
Água Limpa,520020,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,771,707,64
Água Limpa,520020,GO,Centro-Oeste,BUTANTAN/SINOVAC,598,306,292
Água Nova,240040,RN,Nordeste,BUTANTAN/SINOVAC,870,443,427
Água Nova,240040,RN,Nordeste,FIOCRUZ/ASTRAZENECA,640,610,30
Água Nova,240040,RN,Nordeste,PFIZER/BIONTECH,124,124,0
Água Preta,260040,PE,Nordeste,FIOCRUZ/ASTRAZENECA,3927,3706,221
Água Preta,260040,PE,Nordeste,BUTANTAN/SINOVAC,3485,1889,1596
Água Preta,260040,PE,Nordeste,PFIZER/BIONTECH,184,184,0
Água Santa,430005,RS,Sul,BUTANTAN/SINOVAC,1081,602,479
Água Santa,430005,RS,Sul,FIOCRUZ/ASTRAZENECA,982,923,59
Água Santa,430005,RS,Sul,PFIZER/BIONTECH,146,146,0
Aguaí,350030,SP,Sudeste,FIOCRUZ/ASTRAZENECA,6540,6002,538
Aguaí,350030,SP,Sudeste,BUTANTAN/SINOVAC,6416,3273,3143
Aguaí,350030,SP,Sudeste,PFIZER/BIONTECH,426,426,0
Aguanil,310080,MG,Sudeste,BUTANTAN/SINOVAC,1367,697,670
Aguanil,310080,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1267,1145,122
Aguanil,310080,MG,Sudeste,PFIZER/BIONTECH,21,20,1
Águas Belas,260050,PE,Nordeste,FIOCRUZ/ASTRAZENECA,12079,11021,1058
Águas Belas,260050,PE,Nordeste,BUTANTAN/SINOVAC,11532,5883,5649
Águas Belas,260050,PE,Nordeste,PFIZER/BIONTECH,1126,1126,0
Águas Da Prata,350040,SP,Sudeste,BUTANTAN/SINOVAC,2275,1180,1095
Águas Da Prata,350040,SP,Sudeste,FIOCRUZ/ASTRAZENECA,2197,1930,267
Águas Da Prata,350040,SP,Sudeste,PFIZER/BIONTECH,181,181,0
Águas De Chapecó,420050,SC,Sul,FIOCRUZ/ASTRAZENECA,1539,1393,146
Águas De Chapecó,420050,SC,Sul,BUTANTAN/SINOVAC,1176,645,531
Águas De Lindóia,350050,SP,Sudeste,BUTANTAN/SINOVAC,4938,2501,2437
Águas De Lindóia,350050,SP,Sudeste,FIOCRUZ/ASTRAZENECA,4539,4094,445
Águas De Lindóia,350050,SP,Sudeste,PFIZER/BIONTECH,112,112,0
Águas De Santa Bárbara,350055,SP,Sudeste,BUTANTAN/SINOVAC,1570,880,690
Águas De Santa Bárbara,350055,SP,Sudeste,FIOCRUZ/ASTRAZENECA,1493,1384,109
Águas De Santa Bárbara,350055,SP,Sudeste,PFIZER/BIONTECH,85,85,0
Águas De São Pedro,350060,SP,Sudeste,BUTANTAN/SINOVAC,1719,863,856
Águas De São Pedro,350060,SP,Sudeste,FIOCRUZ/ASTRAZENECA,1073,931,142
Águas De São Pedro,350060,SP,Sudeste,PFIZER/BIONTECH,136,136,0
Águas Formosas,310090,MG,Sudeste,BUTANTAN/SINOVAC,1890,1034,856
Águas Formosas,310090,MG,Sudeste,FIOCRUZ/ASTRAZENECA,529,527,2
Águas Frias,420055,SC,Sul,BUTANTAN/SINOVAC,802,435,367
Águas Frias,420055,SC,Sul,FIOCRUZ/ASTRAZENECA,705,653,52
Águas Frias,420055,SC,Sul,PFIZER/BIONTECH,30,30,0
Águas Lindas De Goiás,520025,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,23119,21036,2083
Águas Lindas De Goiás,520025,GO,Centro-Oeste,BUTANTAN/SINOVAC,17960,9758,8202
Águas Mornas,420060,SC,Sul,FIOCRUZ/ASTRAZENECA,1806,1696,110
Águas Mornas,420060,SC,Sul,BUTANTAN/SINOVAC,1649,858,791
Águas Mornas,420060,SC,Sul,PFIZER/BIONTECH,103,103,0
Águas Vermelhas,310100,MG,Sudeste,BUTANTAN/SINOVAC,2553,1324,1229
Águas Vermelhas,310100,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2363,2114,249
Águas Vermelhas,310100,MG,Sudeste,PFIZER/BIONTECH,142,142,0
Agudo,430010,RS,Sul,BUTANTAN/SINOVAC,4077,2061,2016
Agudo,430010,RS,Sul,FIOCRUZ/ASTRAZENECA,3938,3632,306
Agudo,430010,RS,Sul,PFIZER/BIONTECH,366,364,2
Agudos,350070,SP,Sudeste,BUTANTAN/SINOVAC,8834,4738,4096
Agudos,350070,SP,Sudeste,FIOCRUZ/ASTRAZENECA,8613,7913,700
Agudos,350070,SP,Sudeste,PFIZER/BIONTECH,461,461,0
Agudos Do Sul,410030,PR,Sul,FIOCRUZ/ASTRAZENECA,2861,2785,76
Agudos Do Sul,410030,PR,Sul,BUTANTAN/SINOVAC,1851,1045,806
Águia Branca,320013,ES,Sudeste,BUTANTAN/SINOVAC,2486,1398,1088
Águia Branca,320013,ES,Sudeste,FIOCRUZ/ASTRAZENECA,2004,1923,81
Águia Branca,320013,ES,Sudeste,PFIZER/BIONTECH,362,362,0
Aguiar,250020,PB,Nordeste,BUTANTAN/SINOVAC,1563,822,741
Aguiar,250020,PB,Nordeste,FIOCRUZ/ASTRAZENECA,1258,1121,137
Aguiar,250020,PB,Nordeste,PFIZER/BIONTECH,82,82,0
Aguiarnópolis,170030,TO,Norte,FIOCRUZ/ASTRAZENECA,765,725,40
Aguiarnópolis,170030,TO,Norte,BUTANTAN/SINOVAC,720,376,344
Aimorés,310110,MG,Sudeste,BUTANTAN/SINOVAC,3150,1477,1673
Aimorés,310110,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1022,1018,4
Aimorés,310110,MG,Sudeste,PFIZER/BIONTECH,2,2,0
Aiquara,290060,BA,Nordeste,BUTANTAN/SINOVAC,1189,613,576
Aiquara,290060,BA,Nordeste,FIOCRUZ/ASTRAZENECA,1107,989,118
Aiquara,290060,BA,Nordeste,PFIZER/BIONTECH,117,117,0
Aiuaba,230040,CE,Nordeste,BUTANTAN/SINOVAC,2915,1541,1374
Aiuaba,230040,CE,Nordeste,FIOCRUZ/ASTRAZENECA,1481,1185,296
Aiuruoca,310120,MG,Sudeste,BUTANTAN/SINOVAC,2161,1147,1014
Aiuruoca,310120,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1620,1504,116
Aiuruoca,310120,MG,Sudeste,PFIZER/BIONTECH,51,51,0
Ajuricaba,430020,RS,Sul,BUTANTAN/SINOVAC,2264,1151,1113
Ajuricaba,430020,RS,Sul,FIOCRUZ/ASTRAZENECA,1712,1539,173
Ajuricaba,430020,RS,Sul,PFIZER/BIONTECH,260,260,0
Alagoa,310130,MG,Sudeste,FIOCRUZ/ASTRAZENECA,880,805,75
Alagoa,310130,MG,Sudeste,BUTANTAN/SINOVAC,731,378,353
Alagoa,310130,MG,Sudeste,PFIZER/BIONTECH,40,40,0
Alagoa Grande,250030,PB,Nordeste,BUTANTAN/SINOVAC,8248,4330,3918
Alagoa Grande,250030,PB,Nordeste,FIOCRUZ/ASTRAZENECA,4487,4136,351
Alagoa Grande,250030,PB,Nordeste,PFIZER/BIONTECH,383,383,0
Alagoa Nova,250040,PB,Nordeste,BUTANTAN/SINOVAC,4483,2253,2230
Alagoa Nova,250040,PB,Nordeste,FIOCRUZ/ASTRAZENECA,2683,2438,245
Alagoa Nova,250040,PB,Nordeste,PFIZER/BIONTECH,69,69,0
Alagoinha,250050,PB,Nordeste,BUTANTAN/SINOVAC,2727,1356,1371
Alagoinha,250050,PB,Nordeste,FIOCRUZ/ASTRAZENECA,2241,2012,229
Alagoinha,250050,PB,Nordeste,PFIZER/BIONTECH,270,270,0
Alagoinha,260060,PE,Nordeste,FIOCRUZ/ASTRAZENECA,5387,4730,657
Alagoinha,260060,PE,Nordeste,BUTANTAN/SINOVAC,2683,1362,1321
Alagoinha,260060,PE,Nordeste,PFIZER/BIONTECH,92,92,0
Alagoinha Do Piauí,220025,PI,Nordeste,BUTANTAN/SINOVAC,1450,738,712
Alagoinha Do Piauí,220025,PI,Nordeste,FIOCRUZ/ASTRAZENECA,1270,1152,118
Alagoinhas,290070,BA,Nordeste,BUTANTAN/SINOVAC,26307,13470,12837
Alagoinhas,290070,BA,Nordeste,FIOCRUZ/ASTRAZENECA,21007,18943,2064
Alagoinhas,290070,BA,Nordeste,PFIZER/BIONTECH,6218,6216,2
Alambari,350075,SP,Sudeste,BUTANTAN/SINOVAC,1285,622,663
Alambari,350075,SP,Sudeste,FIOCRUZ/ASTRAZENECA,1017,915,102
Alambari,350075,SP,Sudeste,PFIZER/BIONTECH,52,52,0
Albertina,310140,MG,Sudeste,FIOCRUZ/ASTRAZENECA,795,762,33
Albertina,310140,MG,Sudeste,BUTANTAN/SINOVAC,780,408,372
Albertina,310140,MG,Sudeste,PFIZER/BIONTECH,41,41,0
Alcântara,210020,MA,Nordeste,FIOCRUZ/ASTRAZENECA,19936,12874,7062
Alcântara,210020,MA,Nordeste,BUTANTAN/SINOVAC,2250,1496,754
Alcântaras,230050,CE,Nordeste,BUTANTAN/SINOVAC,2176,1149,1027
Alcântaras,230050,CE,Nordeste,FIOCRUZ/ASTRAZENECA,947,780,167
Alcantil,250053,PB,Nordeste,BUTANTAN/SINOVAC,1425,727,698
Alcantil,250053,PB,Nordeste,FIOCRUZ/ASTRAZENECA,913,814,99
Alcantil,250053,PB,Nordeste,PFIZER/BIONTECH,48,48,0
Alcinópolis,500025,MS,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1061,920,141
Alcinópolis,500025,MS,Centro-Oeste,BUTANTAN/SINOVAC,1024,515,509
Alcinópolis,500025,MS,Centro-Oeste,PFIZER/BIONTECH,130,130,0
Alcobaça,290080,BA,Nordeste,BUTANTAN/SINOVAC,3617,2497,1120
Alcobaça,290080,BA,Nordeste,FIOCRUZ/ASTRAZENECA,1143,1086,57
Aldeias Altas,210030,MA,Nordeste,BUTANTAN/SINOVAC,3256,1693,1563
Aldeias Altas,210030,MA,Nordeste,FIOCRUZ/ASTRAZENECA,2512,2315,197
Alecrim,430030,RS,Sul,BUTANTAN/SINOVAC,2450,1243,1207
Alecrim,430030,RS,Sul,FIOCRUZ/ASTRAZENECA,1798,1643,155
Alecrim,430030,RS,Sul,PFIZER/BIONTECH,158,158,0
Alegre,320020,ES,Sudeste,BUTANTAN/SINOVAC,9446,5003,4443
Alegre,320020,ES,Sudeste,FIOCRUZ/ASTRAZENECA,6564,6187,377
Alegre,320020,ES,Sudeste,PFIZER/BIONTECH,1194,1194,0
Alegrete,430040,RS,Sul,BUTANTAN/SINOVAC,21026,10739,10287
Alegrete,430040,RS,Sul,FIOCRUZ/ASTRAZENECA,18454,16843,1611
Alegrete,430040,RS,Sul,PFIZER/BIONTECH,1552,1547,5
Alegrete Do Piauí,220027,PI,Nordeste,BUTANTAN/SINOVAC,897,459,438
Alegrete Do Piauí,220027,PI,Nordeste,FIOCRUZ/ASTRAZENECA,853,786,67
Alegrete Do Piauí,220027,PI,Nordeste,PFIZER/BIONTECH,52,52,0
Alegria,430045,RS,Sul,BUTANTAN/SINOVAC,1317,706,611
Alegria,430045,RS,Sul,FIOCRUZ/ASTRAZENECA,1185,1079,106
Alegria,430045,RS,Sul,PFIZER/BIONTECH,169,169,0
Além Paraíba,310150,MG,Sudeste,BUTANTAN/SINOVAC,8312,4359,3953
Além Paraíba,310150,MG,Sudeste,FIOCRUZ/ASTRAZENECA,6614,5879,735
Alenquer,150040,PA,Norte,FIOCRUZ/ASTRAZENECA,12432,8650,3782
Alenquer,150040,PA,Norte,BUTANTAN/SINOVAC,2047,1060,987
Alexandria,240050,RN,Nordeste,FIOCRUZ/ASTRAZENECA,5666,5205,461
Alexandria,240050,RN,Nordeste,BUTANTAN/SINOVAC,4628,2485,2143
Alexandria,240050,RN,Nordeste,PFIZER/BIONTECH,540,539,1
Alexânia,520030,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,7102,6768,334
Alexânia,520030,GO,Centro-Oeste,BUTANTAN/SINOVAC,4209,2271,1938
Alexânia,520030,GO,Centro-Oeste,PFIZER/BIONTECH,365,361,4
Alfenas,310160,MG,Sudeste,BUTANTAN/SINOVAC,5643,3917,1726
Alfenas,310160,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3244,3242,2
Alfenas,310160,MG,Sudeste,PFIZER/BIONTECH,225,225,0
Alfredo Chaves,320030,ES,Sudeste,BUTANTAN/SINOVAC,4723,2447,2276
Alfredo Chaves,320030,ES,Sudeste,FIOCRUZ/ASTRAZENECA,3059,2894,165
Alfredo Chaves,320030,ES,Sudeste,PFIZER/BIONTECH,539,539,0
Alfredo Marcondes,350080,SP,Sudeste,BUTANTAN/SINOVAC,1639,808,831
Alfredo Marcondes,350080,SP,Sudeste,FIOCRUZ/ASTRAZENECA,1336,1175,161
Alfredo Marcondes,350080,SP,Sudeste,PFIZER/BIONTECH,129,129,0
Alfredo Vasconcelos,310163,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1538,1272,266
Alfredo Vasconcelos,310163,MG,Sudeste,BUTANTAN/SINOVAC,1095,619,476
Alfredo Vasconcelos,310163,MG,Sudeste,PFIZER/BIONTECH,85,85,0
Alfredo Wagner,420070,SC,Sul,FIOCRUZ/ASTRAZENECA,2173,2015,158
Alfredo Wagner,420070,SC,Sul,BUTANTAN/SINOVAC,1951,1054,897
Alfredo Wagner,420070,SC,Sul,PFIZER/BIONTECH,203,203,0
Algodão De Jandaíra,250057,PB,Nordeste,BUTANTAN/SINOVAC,597,300,297
Algodão De Jandaíra,250057,PB,Nordeste,FIOCRUZ/ASTRAZENECA,419,380,39
Algodão De Jandaíra,250057,PB,Nordeste,PFIZER/BIONTECH,36,36,0
Alhandra,250060,PB,Nordeste,BUTANTAN/SINOVAC,2275,1243,1032
Alhandra,250060,PB,Nordeste,FIOCRUZ/ASTRAZENECA,2254,2116,138
Alhandra,250060,PB,Nordeste,PFIZER/BIONTECH,12,12,0
Aliança,260070,PE,Nordeste,FIOCRUZ/ASTRAZENECA,7923,7430,493
Aliança,260070,PE,Nordeste,BUTANTAN/SINOVAC,5969,3056,2913
Aliança,260070,PE,Nordeste,PFIZER/BIONTECH,537,537,0
Aliança Do Tocantins,170035,TO,Norte,BUTANTAN/SINOVAC,1291,664,627
Aliança Do Tocantins,170035,TO,Norte,FIOCRUZ/ASTRAZENECA,867,825,42
Almadina,290090,BA,Nordeste,BUTANTAN/SINOVAC,1544,793,751
Almadina,290090,BA,Nordeste,FIOCRUZ/ASTRAZENECA,1071,1006,65
Almadina,290090,BA,Nordeste,PFIZER/BIONTECH,18,18,0
Almas,170040,TO,Norte,FIOCRUZ/ASTRAZENECA,1507,1465,42
