Município,Código,Demonym ,Prefeito [2017],Area - km^2 [2019],Population Estimate -  [2020],Densidade – hab/km^2 [2010],Schooling (6 to 14 years old) - % [2010],MHDI (Municipal human development index) [2010],Mortalidade Infantil - deaths per 1000 live births [2013],Realized revenue - R$ (*1000) [2017],Committed expenditure - R$ (*1000) [2017],GDP Per Capita - R$ (*1000) [2017]
Itaú de Minas,3133758,itauense,RONILTON GOMES CINTRA,153.421,16199,97.41,98.9,0.776,6.37,52521.00672,46581.18923,31666.62
Itaúna,3133808,itaunense,NEIDER MOREIRA DE FARIA,495.769,93847,172.38,98.2,0.758,11.31,267713.07173,236989.34221,32675.28
Itaverava,3133907,itaveravense,JOSÉ FLAVIANO,284.22,5369,20.4,97.3,0.627,54.05,14410.9387,12507.1699,8500.05
Itinga,3134004,itinguense,ADHEMAR MARCOS FILHO,1649.622,15022,8.73,96.8,0.6,12.82,29984.41148,25831.62879,8068.97
Itueta,3134103,ituetano,VALTER JOSÉ NICOLI,452.676,6063,12.88,98.3,0.635,23.53,2043.59218,16616.1952,13296.66
Ituiutaba,3134202,ituiutabano,FUED JOSE DIB,2598.046,105255,37.4,98.1,0.739,10.43,317795.53323,289375.26093,27698.62
Itumirim,3134301,itumirinense,GERALDO MAGNO DE RESENDE,234.802,6000,26.15,98.5,0.726,27.78,14143.20133,13764.13925,9913.07
Iturama,3134400,ituramense,ANDERSON BERNARDES DE OLIVEIRA,1404.663,39690,24.53,98.8,0.747,6,130022.87357,128017.18667,44831.13
Itutinga,3134509,itutinguense,FABIANO RIBEIRO DO VALE,372.018,3768,10.52,99.4,0.727,27.78,17558.18773,15237.85104,21293.51
Jaboticatubas,3134608,jaboticatubense,ENEIMAR ADRIANO MARQUES,1114.972,20418,15.37,98.2,0.681,29.41,44560.76807,42042.22684,10503.7
Jacinto,3134707,jacintense,LEONARDO AUGUSTO DE SOUZA,1393.609,12323,8.71,97.7,0.62,15.04,26569.19607,25573.51077,8117.19
