Município,Código,Demonym ,Prefeito [2017],Area - km^2 [2019],Population Estimate -  [2020],Densidade – hab/km^2 [2010],Schooling (6 to 14 years old) - % [2010],MHDI (Municipal human development index) [2010],Mortalidade Infantil - deaths per 1000 live births [2013],Realized revenue - R$ (*1000) [2017],Committed expenditure - R$ (*1000) [2017],GDP Per Capita - R$ (*1000) [2017]
Mutum,3144003,mutuense,JOÃO BATISTA MARÇAL TEIXEIRA,1250.824,26961,21.31,94.9,0.644,2.72,50071.05152,47698.57094,13595.35
Muzambinho,3144102,muzambinhense,SÉRGIO ARLINDO CERÁVOLO PAOLIELLO,409.948,20545,49.84,97.8,0.74,3.8,50567.29393,43328.47855,19740.43
Nacip Raydan,3144201,nacipense,EDUARDO ANTONIO DE OLIVEIRA,233.493,3220,13.51,94.4,0.585,43.48,12717.73937,10715.90956,8248.61
Nanuque,3144300,nanuquense,ROBERTO DE JESUS,1518.166,40665,26.9,97.4,0.701,8.73,83037.96854,78695.16317,15408.8
Naque,3144359,naquense,HELIO PINTO DE CARVALHO,127.173,7051,49.86,98.9,0.675,11.9,17197.12705,15413.31317,9900.73
Natalândia,3144375,natalandense,GERALDO MAGELA GOMES,468.66,3308,7,99.8,0.671,25,14798.39495,12189.98316,12964.17
Natércia,3144409,naterciano,CRISTIANO ANTONIO CAETANO JUNHO,188.719,4728,24.68,98.6,0.693,35.71,16158.63586,14096.93384,14089.05
Nazareno,3144508,nazarenense,JOSE HEITOR GUIMARAES DE CARVALHO,341.453,8660,24.17,98.8,0.69,11.9,26684.30887,21450.89588,23898.54
Nepomuceno,3144607,nepomucenense,LUIZA MARIA LIMA MENEZES,582.553,26826,44.17,96.1,0.667,17.24,54483.37272,46563.047,16427.33
Ninheira,3144656,ninheirense,GILMAR MENDES FERRAZ,1108.255,10326,8.86,97.4,0.556,10.64,23533.00077,21353.99311,7321.2
Nova Belém,3144672,belenense,FLAVIA PEREIRA DORNELES,146.775,3128,25.43,96.7,0.592,55.56,16422.72658,18237.96744,10867.32
Nova Era,3144706,nova-erense,LAURA MARIA CARNEIRO DE ARAUJO,361.926,17551,48.43,99.6,0.709,4.35,47225.20946,41184.59971,17869.48
Nova Lima,3144805,nova-limense,VITOR PENIDO DE BARROS,429.313,96157,188.73,98.3,0.813,8.13,546293.76594,468838.76526,98855.84
Nova Módica,3144904,neomodicano,WALTER JUNIOR LADEIA BORBOREMA,375.973,3573,10.08,96.5,0.63,21.74,15399.37898,795.93314,11320.48
Nova Ponte,3145000,nova-pontense,LINDON CARLOS RESENDE DA CRUZ,1111.011,15800,11.53,96.6,0.701,39.77,67697.03241,53777.43834,51809.94
Nova Porteirinha,3145059,novaporteirinhense,JURACY FAGUNDES JACOME,120.943,7497,61.17,98.3,0.641,29.7,18984.6714,16433.21647,13667.37
Nova Resende,3145109,resendense,CELSON JOSE DE OLIVEIRA,390.152,16832,39.41,95.2,0.671,9.66,46071.13114,37780.05063,17822.42
Nova Serrana,3145208,nova-serranense,EUZÉBIO RODRIGUES LAGO,282.472,105520,261,97.2,0.715,12.73,201063.33033,180802.43018,27488.47
Novo Cruzeiro,3145307,novo-cruzeirense,MILTON COELHO DE OLIVEIRA,1702.981,31335,18.04,95.7,0.571,5.06,60332.08934,60836.93997,7328.28
Novo Oriente de Minas,3145356,novo orientense,FÁBIO RODRIGUES GONÇALVES,755.151,10778,13.69,96.3,0.555,26.09,23253.56477,20706.11881,7538.73
Novorizonte,3145372,novorizontino,ARLEY COSTA MENDES,271.61,5324,18.25,96.8,0.616,14.29,15999.15421,14896.67613,9561.19
Olaria,3145406,olariense,LUIZ ENEIAS DE OLIVEIRA,178.242,1720,11.09,97.1,0.636,90.91,13977.78506,11151.7387,12512.91
Olhos-d'Água,3145455,olhos-d'aguense,RONE DOUGLAS DIAS,2092.078,6171,2.52,97.4,0.626,14.49,18548.11947,15902.13164,20332.15
Olímpio Noronha,3145505,olímpio-noroense,CARLOS ALBERTO DE CASTRO PEREIRA,54.633,2809,46.36,98.4,0.674,37.04,16117.7452,13626.80668,13241.81
Oliveira,3145604,oliveirense,CRISTINE LASMAR DE MOURA RESENDE,897.294,41840,43.98,95.2,0.699,10.31,108486.3917,102718.86799,20235.39
Oliveira Fortes,3145703,oliveira-fortense,ANTONIO CARLOS DE OLIVEIRA,111.13,2130,19.1,94.2,0.635,90.91,12414.68296,10375.16444,13816.58
Onça de Pitangui,3145802,oncense,GERALDO MAGELA BARBOSA,246.976,3152,12.37,97.4,0.663,28.57,15660.73305,14138.18876,15385.63
Oratórios,3145851,oratoriense,JOSE ANTONIO DELGADO,89.068,4663,50.44,98.7,0.637,42.55,17168.4387,14400.28988,11322.17
Orizânia,3145877,orizanense,EBIO JOSE VITOR,121.8,8079,59.8,96.7,0.562,16.67,18800.71425,16040.96658,10137.35
Ouro Branco,3145901,ouro-branquense,HELIO MARCIO CAMPOS,258.726,39867,136.31,98.9,0.764,13.26,121238.30704,106480.89749,86253.57
Ouro Fino,3146008,ouro-finense,MAURICIO LEMES DE CARVALHO,533.714,33791,59.15,95.8,0.722,15.67,72163.71372,63100.99215,19507.16
Ouro Preto,3146107,ouro-pretano,JULIO ERNESTO DE GRAMMONT MACHADO DE ARA,1245.865,74558,56.41,98.8,0.741,15.22,289340.97729,282622.06696,62208.49
Ouro Verde de Minas,3146206,ouro-verdense,JOSIMAR TELES DA COSTA,175.482,5914,34.28,96.6,0.595,19.23,15011.70808,14112.86555,7567.76
Padre Carvalho,3146255,padre carvaliense,JOSE NILSON BISPO DE SA,446.275,6423,13.07,92.2,0.599,25,17243.58758,14820.67604,7938.07
Padre Paraíso,3146305,padre-paraisense,VALMIR SILVA COSTA,544.375,20252,34.63,94.8,0.596,16,41906.66212,37191.75296,8367.4
Paineiras,3146404,paineirense,AFRANIO ALVES MENDONÇA NETO,637.309,4462,7.27,98.2,0.669,40,17156.232,15949.28886,12854.79
Pains,3146503,painense,MARCO AURÉLIO RABELO GOMES,421.862,8296,19,99.2,0.728,11.49,34922.23437,32416.19304,37080.23
Pai Pedro,3146552,paipedrense,EUJACIO DA SOLEDADE RODRIGUES,839.805,6094,7.07,95.4,0.59,16.13,18814.6635,18807.68599,7025.5
Paiva,3146602,paivense,VICENTE CRUZ DE OLIVEIRA,58.419,1523,26.67,99.5,0.72,45.45,11626.77764,9966.89123,14057.44
Palma,3146701,palmense,HIRAM VINICIUS MENDONÇA FINAMORE,316.476,6611,20.68,96.4,0.703,17.86,16768.82963,15891.32659,10209.62
Palmópolis,3146750,palmopolense,MARCELO FERNANDES DE ALMEIDA,433.154,5349,16,96.3,0.565,16.39,16990.21507,14210.17949,7647.43
Papagaios,3146909,papagaiense,MARIO REIS FILGUEIRAS,553.577,15800,25.61,96.9,0.666,16.95,36127.82706,32505.71008,16123.18
Paracatu,3147006,paracatuense,OLAVO REMIGIO CONDE,8229.587,93862,10.29,97.1,0.744,16.58,299790.47787,248641.86121,38000.86
Pará de Minas,3147105,pará-minense,ELIAS DINIZ,551.247,94808,152.77,99.1,0.725,8.79,227907.6051,195961.72034,29595.63
Paraguaçu,3147204,paraguaçuense,JOSE TIBURCIO DO PRADO NETO,424.296,21605,47.71,99.4,0.715,22.22,51947.49542,48680.36758,22067.09
Paraisópolis,3147303,paraisopolense,SERGIO WAGNER BIZARRIA,331.238,21221,58.5,95.1,0.729,12.71,45911.18582,41027.9773,27566.08
Paraopeba,3147402,paraopebense,JOSÉ VALADARES BAHIA,625.623,24700,36.06,98.8,0.694,3.28,60374.75511,51581.08686,23143.51
Passabém,3147501,passabenense,RONALDO AGAPITO DE SA,94.183,1633,18.75,98.1,0.642,76.92,11386.16672,9564.09785,11386.19
Passa Quatro,3147600,passa-quatrense,ANTONIO CLARET MOTA ESTEVES,277.221,16393,56.21,98,0.715,15.31,41167.59476,36294.15876,22839.89
Passa Tempo,3147709,passa-tempense,EDILSON RODRIGUES,429.172,8057,19.1,98.8,0.687,15.63,23389.88372,20687.10259,22551.4
Passa Vinte,3147808,passa-vintense,LUCAS NASCIMENTO DE ALMEIDA,246.565,2031,8.43,99,0.648,76.92,12840.31314,10821.36477,15277.65
Passos,3147907,passense,CARLOS RENATO LIMA REIS,1338.07,115337,79.44,96.8,0.756,9.41,229677.38388,207760.65135,20861.28
Patis,3147956,patiense,VALMIR MORAIS DE SÁ,444.196,6002,12.56,96.8,0.614,15.63,17930.17824,15031.57516,7449.33
Patos de Minas,3148004,patense,JOSE EUSTAQUIO RODRIGUES ALVES,3190.456,153585,43.49,98.6,0.765,12.65,442806.91518,351936.25936,29020.34
Patrocínio,3148103,patrocinense,DEIRO MOREIRA MARRA,2874.344,91449,28.69,97.9,0.729,11.66,306830.99538,247035.03419,30089.34
Patrocínio do Muriaé,3148202,patrocinense,PAULO AZIZ DAHER,108.246,5715,48.84,99.2,0.682,15.38,15859.16312,13482.34188,13089.83
Paula Cândido,3148301,paula-candense,MARCELO RODRIGUES DA SILVA,268.321,9584,34.55,98.4,0.637,12.82,20768.80424,19045.41741,9825.87
Paulistas,3148400,paulistano,EVANDRO RIBEIRO DE CARVALHO,220.564,4812,22.3,98.3,0.625,17.86,19729.40283,13376.05311,8824.97
Pavão,3148509,pavoense,LUCIANO BALARINI GONÇALVES,601.19,8419,14.29,97.1,0.627,23.53,16884.38139,14998.24863,7982.61
Peçanha,3148608,peçanhense,EUSTAQUIO DE CARVALHO BRAGA,996.646,17537,17.32,97.1,0.627,19.23,35340.01767,29102.26157,10026.71
Pedra Azul,3148707,pedra-azulense,SILVANA MARIA ARAUJO MENDES,1594.651,24329,14.95,98.7,0.627,16.72,49191.3098,47456.64546,11030.79
Pedra Bonita,3148756,pedrabonitense,ADRIANO TEODORO DO CARMO,173.928,7128,38.37,97.4,0.573,9.62,19498.6272,16272.77091,8687.09
Pedra do Anta,3148806,antense,JOÃO BATISTA VIANA,173.168,3005,20.59,97.5,0.624,32.26,14478.84985,12764.88358,14897.38
Pedra do Indaiá,3148905,andaiaense,ITAMAR JOSE DA COSTA,347.92,3974,11.14,97.9,0.708,62.5,17042.27028,13847.73419,19679.99
Pedra Dourada,3149002,douradense,SILVANIR SIMPLÍCIO DE ANDRADE,69.99,2532,31.3,97.6,0.655,34.48,14644.65437,11407.88272,14257.94
Pedralva,3149101,pedralvense,JOSIMAR SILVA DE FREITAS,217.989,11146,52.6,98.5,0.675,15.38,23613.14662,22325.65733,11146.12
Pedras de Maria da Cruz,3149150,pedrense,SEBASTIÃO CARLOS CHAVES DE MEDEIROS,1525.648,12212,6.76,98.5,0.614,25.42,27236.35271,21717.06807,7417.9
Pedrinópolis,3149200,pedrinopolense,ANTÔNIO JOSE GUNDIM,357.891,3643,9.75,96.1,0.729,30.3,21158.84225,18373.96751,29115.4
Pedro Leopoldo,3149309,pedro-leopoldense,CRISTIANO ELIAS DOS REIS COSTA,292.831,64712,200.51,98.3,0.757,7.79,152841.21421,133258.89342,22513.16
Pedro Teixeira,3149408,pedro-teixeirense,IDILIO NEVES MOREIRA,112.959,1806,15.8,97.8,0.637,41.67,12091.2086,10429.42641,11599.77
Pequeri,3149507,pequeriense,JOAQUIM SIMEÃO DE FARIA NETO,90.833,3330,34.84,99.2,0.694,20,14241.2125,12896.96997,12811.71
Pequi,3149606,pequiense,JOÃO DE CASTRO BARBOSA,203.991,4432,19.98,98,0.674,20.41,16729.55631,14526.45074,13734.52
Perdigão,3149705,perdiguense,GILMAR TEODORO DE SÃO JOSÉ,249.322,11755,35.74,94.8,0.703,6.37,31058.15887,24189.57336,19677.65
Perdizes,3149804,perdizense,FERNANDO MARANGONI,2451.112,16321,5.88,97.5,0.723,19.7,65166.98673,56992.02879,37778.59
Perdões,3149903,perdoense,HAMILTON RESENDE FILHO,270.657,21485,74.22,97,0.744,17.05,56400.41158,45548.82608,22308.57
Periquito,3149952,periquitense,GERALDO MARTINS GODOY,228.907,6773,30.74,95.7,0.651,11.49,21996.18252,20877.53298,10284.6
Pescador,3150000,pescadorense,ORLANDO LUCIANO SARTORI,317.463,4256,13,98.7,0.656,74.07,14872.11118,13882.85574,8960.91
Piau,3150109,piauense,GILMAR APARECIDO REZENDE DE CASTRO,192.196,2733,14.78,94.5,0.629,62.5,14786.68198,11917.59717,16317.99
Piedade de Caratinga,3150158,piedade-caratinguense,EDINILSON DORNELAS LOPES,109.345,8702,65.02,97.1,0.612,34.01,19224.29051,19547.91275,10764.87
Piedade de Ponte Nova,3150208,piedadense,ANTONIO MAYRINK BORDONI,83.733,4140,48.51,98.1,0.639,18.52,14681.65841,12101.80302,11866.11
Piedade do Rio Grande,3150307,piedadense,JOSE FERNANDES NETO,322.814,4466,14.59,100,0.678,61.22,14854.74742,13641.09073,15767.68
Piedade dos Gerais,3150406,piedadense,ROGÉRIO MENDES DA COSTA,259.638,5009,17.87,100,0.626,18.87,15324.46132,14248.24722,12476.4
Pimenta,3150505,pimentense,AILTON COSTA FARIA,414.969,8688,19.85,97.6,0.686,14.08,27875.33811,25765.12072,20424.73
Pingo d'Água,3150539,pingodaguense,ARTUR CARLOS DA SILVA,66.57,4986,66.4,97.8,0.619,17.86,15965.58776,13924.55234,7944.8
Pintópolis,3150570,pintopolense,EDILEIDE LOPES DOS SANTOS,1228.736,7524,5.87,97.6,0.594,35.29,21440.0812,17041.13882,7483.24
Piracema,3150604,piracemense,ANTONIO OSMAR DA SILVA,280.335,6398,22.85,98.7,0.646,15.38,20120.05852,18184.66734,16028.43
Pirajuba,3150703,pirajubense,RUI GOMES NOGUEIRA RAMOS,337.98,6348,13.78,95.9,0.723,21.05,28123.29805,25232.60279,53366.9
Piranga,3150802,piranguense,JOSÉ CARLOS DE OLIVEIRA MARQUES,658.812,17634,26.16,96.3,0.6,13.25,33792.36876,32688.40059,8924.23
Piranguçu,3150901,piranguçuense,RICARDO MARTINS DE ARAUJO,203.619,5488,25.62,99.6,0.685,15.63,15339.61971,17085.0036,9646.42
Piranguinho,3151008,piranguinhense,HELENA MARIA DA SILVEIRA,124.803,8640,64.23,99.2,0.717,9.9,20979.20588,18729.23441,11823.55
Pirapetinga,3151107,pirapetinguense,ENOGHALLITON DE ABREU ARRUDA,190.681,10772,54.35,99.8,0.709,11.9,31522.68677,27838.01842,54136.96
Pirapora,3151206,piraporense,MARCELLA MACHADO RIBAS FONSECA,549.514,56640,97.12,98.3,0.731,9.42,173984.42107,156157.03251,32391.7
Piraúba,3151305,piraubano,ADRIANO CARVALHAES GRAVINA,144.289,10759,75.28,96.6,0.684,8.33,25808.56709,24733.49396,14830.67
Pitangui,3151404,pitanguense,MARCILIO VALADARES,569.636,28215,44.44,95.5,0.725,17.24,56181.59852,50237.74937,18326.76
Piumhi,3151503,piuiense,ADEBERTO JOSE DE MELO,902.468,34918,35.33,99.2,0.737,11.55,91383.35966,78482.53312,25102.94
Planura,3151602,planurense,PAULO ROBERTO BARBOSA,317.52,12292,32.7,97.6,0.712,15.63,39956.28608,34737.52643,41414.12
Poço Fundo,3151701,poço-fundense,RENATO FERREIRA DE OLIVEIRA,474.244,16846,33.65,97.2,0.691,12.27,40854.1736,34110.2158,15335.67
Poços de Caldas,3151800,poços-caldense,SERGIO ANTONIO CARVALHO DE AZEVEDO,546.958,168641,278.54,97.7,0.779,10.86,638070.05703,617687.19227,38329.41
Pocrane,3151909,pocranense,ERNANE JOSÉ DE MACEDO,691.066,8359,13,97.5,0.626,28.17,17691.16151,16310.28102,11531.92
Pompéu,3152006,pompeano,OZEAS DA SILVA CAMPOS,2551.074,32035,11.41,96.3,0.689,12.2,81947.94728,72453.47467,23318.66
Ponte Nova,3152105,ponte-novense,WAGNER MOL GUIMARÃES,470.643,59875,121.94,97.7,0.717,9.45,183067.78364,159273.0032,27330.95
Ponto Chique,3152131,ponto chiquense,JOSÉ GERALDO ALVES DE ALMEIDA,602.799,4283,6.58,98.8,0.606,17.24,14109.63623,13507.55933,8976.93
Ponto dos Volantes,3152170,ponto volantense,LEANDRO RAMOS SANTANA,1212.413,12179,9.36,96,0.595,13.61,30112.31868,25598.92616,6716.39
Porteirinha,3152204,porteirinhense,SILVANEI BATISTA SANTOS,1749.683,37864,21.51,98.6,0.651,6.94,66857.731,63704.46892,8663.01
Porto Firme,3152303,porto-firmense,REGINALDO BARBOSA GONÇALVES,284.777,11348,36.58,98.8,0.634,19.42,19820.93411,18022.64481,8059.19
Poté,3152402,poteense,GILDESIO SAMPAIO DE OLIVEIRA,625.111,16616,25.06,98.2,0.624,6.54,37458.34068,35480.3777,8269.75
Pouso Alegre,3152501,pouso-alegrense,RAFAEL TADEU SIMOES,542.797,152549,240.51,98.2,0.774,8.22,581413.78414,428322.73829,50211.91
Pouso Alto,3152600,pouso-altense,JULIANO CLÁUDIO DA SILVA,263.034,5900,23.62,98.5,0.71,12.35,20329.87249,17631.98011,35690.37
Prados,3152709,pradense,LESTER REZENDE DANTAS JUNIOR,264.115,9080,31.77,96.3,0.689,25.64,21808.59001,16884.91546,16861.34
Prata,3152808,pratense,ANUAR ARANTES AMUI,4847.544,28017,5.32,96.1,0.695,19.23,73563.62065,66800.4123,33413.16
Pratápolis,3152907,pratapolense,DENISE ALVES DE SOUZA NEVES,215.516,8566,40.86,98.4,0.729,25,23376.23615,20796.92862,15544.46
Pratinha,3153004,pratinhense,JOHN WERCOLLIS DE MORAIS,622.478,3631,5.25,96,0.721,38.46,18387.17604,15447.46701,26429.45
Presidente Bernardes,3153103,bernardense,JAZON HAROLDO SILVA ALMEIDA,236.798,5341,23.38,98.4,0.632,25,15099.19638,14449.90138,8450.05
Presidente Juscelino,3153202,juscelinense,RICARDO DE CASTRO MACHADO,695.882,3606,5.62,96.4,0.614,25,14751.92329,13355.16188,11105.91
Presidente Kubitschek,3153301,kubitschekense,LAURO DE OLIVEIRA,189.235,3001,15.64,95.3,0.595,22.22,14615.56194,12487.70682,9036.31
Presidente Olegário,3153400,olegariense,JOAO CARLOS NOGUEIRA DE CASTILHO,3503.848,19627,5.3,98.8,0.701,10.1,57022.21163,51043.22803,23170.25
Alto Jequitibá,3153509,jequitibaense,MARCO ANTONIO LOPES,152.272,8301,54.63,98,0.66,10.2,17760.36582,15062.83209,14105.72
Prudente de Morais,3153608,prudentino,JOSÉ ROBERTO FILHO,124.189,10834,77.08,97.7,0.69,7.35,25743.59357,22893.27454,13664.38
Quartel Geral,3153707,quartelense,JOSÉ LÚCIO CAMPOS,556.436,3584,5.94,96.7,0.683,28.57,17834.15445,19286.72546,14232.74
Queluzito,3153806,queluzitano,CÉLIO PEREIRA DE SOUZA,153.56,1943,12.12,99.1,0.682,-,12289.08696,11380.68208,14891.04
Raposos,3153905,raposense,SERGIO SILVEIRA SOARES,72.228,16429,212.88,98.4,0.73,20.3,34236.46161,27563.46488,18181.13
Raul Soares,3154002,raul-soarense,VICENTE RUFINO OSORIO,763.364,23711,31.2,94.3,0.655,11.11,49814.53193,43357.194,12001.83
Recreio,3154101,recreiense ou recreense,JOSE MARIA ANDRE DE BARROS,234.296,10520,43.96,97.7,0.692,10.2,23799.69038,22992.09141,9201.45
Reduto,3154150,redutense,JOSE CARLOS LOPES,151.859,7201,43.26,95.4,0.629,24.69,17011.9877,16300.25475,13009.33
Resende Costa,3154200,resende-costense,AURÉLIO SUENES DE RESENDE,618.312,11540,17.65,97.6,0.685,26.32,27672.59209,23875.12887,13390.86
Resplendor,3154309,resplendorense,DIOGO SCARABELLI JUNIOR,1081.796,17396,15.8,97.1,0.67,19.51,42626.16044,41777.82668,12525.82
Ressaquinha,3154408,ressaquinhense,MANOEL DA SILVA RIBEIRO,183.062,4817,25.52,98.5,0.683,19.23,18463.37282,16257.51016,35317.55
Riachinho,3154457,riachiense,LIEDSON SILVA MARTINS,1719.266,8134,4.66,97.4,0.632,13.33,21366.28615,18810.73876,10940.52
Riacho dos Machados,3154507,riachense,ELTON MARQUES DE ALMEIDA,1315.54,9476,7.11,95.3,0.627,19.23,25904.09946,24860.13629,21278.7
Ribeirão das Neves,3154606,nevense,MOACIR MARTINS DA COSTA JUNIOR,155.105,338197,1905.07,96.5,0.684,7.45,442513.50134,379009.8872,11723.14
Ribeirão Vermelho,3154705,ribeirense,ANA ROSA MENDONÇA LASMAR,49.251,4047,77.68,99.4,0.737,24.39,14073.91936,12049.51288,21125.14
Rio Acima,3154804,rio-acimense,MARIA AUXILIADORA RIBEIRO,228.394,10420,39.55,96.7,0.673,13.51,51088.05003,36990.49106,13003.57
Rio Casca,3154903,rio-casquense,ADRIANO DE ALMEIDA ALVARENGA,384.381,13473,36.95,98.2,0.65,6.99,34600.52575,30442.39664,12972.65
Rio Doce,3155009,rio-docense,SILVÉRIO JOAQUIM APARECIDO DA LUZ,112.094,2620,21.99,98.9,0.664,40,21192.91089,18760.07143,13716.88
Rio do Prado,3155108,rio-pradense,GILBERTO GONÇALVES DE AGUILAR,479.815,5133,10.87,98.9,0.605,15.15,14892.87537,14121.78933,7516.97
Rio Espera,3155207,rio-esperense,LUCIO MARCOS DA SILVEIRA,238.602,5402,25.44,98.1,0.602,93.75,14916.45857,13520.11577,8014.76
Rio Manso,3155306,rio-mansense,ADAIR DORNAS DOS SANTOS,231.54,5879,22.79,98.5,0.648,23.26,15904.87914,13305.3725,14003.5
Rio Novo,3155405,rio-novense,ORMEU RABELLO FILHO,209.31,8957,41.62,95,0.707,12.5,19405.33264,18970.06949,12220.14
Rio Paranaíba,3155504,rio-paraibano,VALDEMIR DIOGENES DA SILVA,1352.353,12335,8.79,98.7,0.709,13.61,56429.89555,40397.71063,40105.28
Rio Pardo de Minas,3155603,rio-pardense,MARCUS VINICIUS DE ALMEIDA RAMOS,3117.675,31045,9.33,98.9,0.624,8.06,55111.40347,51187.68572,8382.15
Rio Piracicaba,3155702,piracicabense,ANTÔNIO JOSÉ COTA,373.037,14332,37.93,98.9,0.685,13.16,43375.99571,36371.05675,34935.3
Rio Pomba,3155801,rio-pombense,MARCOS PASCOALINO,252.418,17959,67.78,97.7,0.714,13.95,38458.87645,32635.98073,16637.44
Rio Preto,3155900,rio-pretense,INÁCIO DE LOYOLA MACHADO FERREIRA,348.046,5485,15.2,98.8,0.679,44.44,16745.71432,14454.13548,9942.31
Rio Vermelho,3156007,rio-vermelhense,ILDEMAR VICENTE DE FARIA,986.561,12739,13.83,93,0.558,19.11,26472.47448,25032.03595,8384.46
Ritápolis,3156106,ritapolitano,HIGINO ZACARIAS DE SOUSA,404.805,4562,12.17,98.6,0.653,23.81,9919.85436,10078.53174,14299.08
Rochedo de Minas,3156205,rochedense,RICARDO CEZAR CANDIDO DA SILVA,79.402,2320,26.65,96,0.684,34.48,14936.82418,12151.14605,11264.61
Rodeiro,3156304,rodeirense,LUIZ ANTONIO MEDEIROS,72.673,8224,94.49,95.2,0.668,18.87,21275.54447,18780.46136,52153.01
Romaria,3156403,romariense,JOAO RODRIGUES DOS REIS,407.557,3520,8.82,100,0.708,30.3,18459.11585,13914.94052,37536.63
Rosário da Limeira,3156452,limeirense,JOSE MARIA PINTO DA SILVA,111.156,4622,38.21,99.5,0.662,40,19610.96456,15667.0835,10425.98
Rubelita,3156502,rubelitense,OSVAN OTAVIO DAVID MIRANDA,1110.295,5798,7,96.7,0.582,47.62,17788.18801,16878.47195,8330.69
Rubim,3156601,rubinense,ALENCAR SOUTO DE OLIVEIRA,965.174,10256,10.28,98.3,0.609,31.91,25197.26622,21276.55217,8223.43
Sabará,3156700,sabaraense,WANDER JOSÉ GODDARD BORGES,302.453,137125,417.87,97.3,0.731,15.72,282359.12888,238256.2737,18562.94
Sabinópolis,3156809,sabinopolense,NIRLEY DE PINHO TAVARES,919.811,15416,17.07,96.8,0.638,30.49,37752.86622,31752.9515,11435.39
Sacramento,3156908,sacramentano,WESLEY DE SANTI DE MELO,3073.268,26374,7.78,97.3,0.732,12.01,116576.43048,90724.37301,59030.98
Salinas,3157005,salinense,JOSE ANTONIO PRATES,1862.117,41699,20.75,97.2,0.679,10.25,78169.89146,69493.41978,13285.63
Salto da Divisa,3157104,saltense,OXIMANE PEIXOTO BOMFIM,938.008,7012,7.31,97.4,0.608,24.1,24675.24486,23184.70349,13700.05
Santa Bárbara,3157203,santa-barbarense,LERIS FELISBERTO BRAGA,684.505,31604,40.75,96.9,0.707,14.49,97196.94575,83429.79219,24958.46
Santa Bárbara do Leste,3157252,santa barbarense,WILMA PEREIRA MAFRA RIBEIRO,107.402,8181,71.53,96.5,0.613,12.99,18652.59508,15887.56004,9700.87
Santa Bárbara do Monte Verde,3157278,barbarense,ISMAEL TEIXEIRA DE PAIVA,417.925,3182,6.67,98.4,0.606,50,13937.55452,12319.31955,12513.72
Santa Bárbara do Tugúrio,3157302,tuguriense,VICENTE PAULO DA SILVA,194.564,4407,23.49,97.3,0.637,31.25,15641.45854,14865.48006,12202.25
Santa Cruz de Minas,3157336,santacruzense,SINARA RAFAELA CAMPOS,3.565,8664,2206.17,98.7,0.706,9.9,15672.87876,13669.03368,10348.27
Santa Cruz de Salinas,3157377,santacruzense,ALINE TEIXEIRA,589.607,4107,7.46,99.6,0.577,25,15258.40169,14386.51949,8659.46
Santa Cruz do Escalvado,3157401,santa-cruzense,SONIA MARIA UNTALER,258.726,4725,19.29,97.2,0.625,25,22653.00566,16144.33788,9823.43
Santa Efigênia de Minas,3157500,santa-efigense,RONALDO MAGNO DE MOURA,131.965,4381,34.86,95.2,0.607,15.87,14570.44474,11683.08148,8712.77
Santa Fé de Minas,3157609,santa-feense,EDSON APARECIDO FREIRE DOS SANTOS,2917.448,3826,1.36,97.2,0.615,18.87,15425.91728,13551.32658,9504.73
Santa Helena de Minas,3157658,santaelenense de minas,ARTUR RODRIGUES DA SILVA,276.433,6386,21.9,89.2,0.567,10.64,15693.63082,14814.28049,6931.24
Santa Juliana,3157708,santa-julianense,BELCHIOR ANTÔNIO DA SILVA,723.784,14255,15.66,92,0.706,10.1,50051.78661,43148.66172,47871.43
Santa Luzia,3157807,luziense,CHRISTIANO AUGUSTO XAVIER FERREIRA,235.205,220444,862.38,96.7,0.715,9.9,405174.59919,386316.2584,17291.87
Santa Margarida,3157906,santa-margaridense,GERALDO SCHIAVO,255.73,16302,58.7,93.2,0.61,13.39,34627.65223,29332.42058,16815.82
Santa Maria de Itabira,3158003,santa-mariense,REINALDO DAS DORES SANTOS,597.441,10857,17.66,98.3,0.648,14.71,24151.44054,33984.79782,15028.24
Santa Maria do Salto,3158102,santa-mariense,MARLON CAIRES SOUZA,440.605,5217,11.99,97.7,0.613,21.28,14328.79296,13794.81302,7454.96
Santa Maria do Suaçuí,3158201,santa-mariense,RODOLFO LIMA NETO,624.047,14611,23.07,96.9,0.64,15.46,36807.11611,25356.2178,8955.42
Santana da Vargem,3158300,vargense,RENATO TEODORO DA SILVA,172.444,7073,41.93,98.8,0.698,11.9,20134.57239,17014.80138,20419.6
Santana de Cataguases,3158409,santanense,MARIA JUCELIA BAESSO PROCACI,161.486,3891,22.43,100,0.694,83.33,14969.06219,13998.4426,10003.2
Santana de Pirapama,3158508,pirapamenho,DALTON SOARES SILVA,1255.832,7589,6.38,99.5,0.628,16.67,17699.75416,14837.42595,10462.27
Santana do Deserto,3158607,santanense,WALLACE SEBASTIAO VASCONCELOS LEITE,182.655,3981,21.13,95.9,0.651,23.26,15111.16577,13767.79927,9898.75
Santana do Garambéu,3158706,santanense,ADAILTON FONSECA DA CUNHA,203.074,2476,11,99,0.667,55.56,13244.31392,12114.19695,11762.91
Santana do Jacaré,3158805,santanense,ALEIRIS SOARES VIANA,106.169,4834,43.39,99.6,0.647,15.63,14496.70163,12530.73445,15635.2
Santana do Manhuaçu,3158904,santanense,ROSA LUZIA MENDES ASSIS,347.362,8667,24.71,96,0.621,18.18,18211.06721,16005.85144,12404.81
